line_id,month,average_speed,samples,implementation
2211,5,0.0,0,concurrent
1571,5,0.0,0,concurrent
2401,5,0.0,0,concurrent
2273,5,37.3252712265942,1,concurrent
1472,5,37.80059218125367,1,concurrent
3442,5,0.0,0,concurrent
304,5,0.0,0,concurrent
271,5,0.0,0,concurrent
2121,5,0.0,0,concurrent
2472,5,37.32188279674928,1,concurrent
131,5,0.0,0,concurrent
2212,5,0.0,0,concurrent
2241,5,0.0,0,concurrent
2402,5,0.0,0,concurrent
2274,5,0.0,0,concurrent
3422,5,0.0,0,concurrent
441,5,0.0,0,concurrent
375,5,0.0,0,concurrent
2101,5,0.0,0,concurrent
437,5,0.0,0,concurrent
272,5,0.0,0,concurrent
140,5,36.184200279700555,1,concurrent
2473,5,0.0,0,concurrent
999,5,0.0,0,concurrent
421,5,0.0,0,concurrent
3171,5,0.0,0,concurrent
2242,5,0.0,0,concurrent
318,5,0.0,0,concurrent
347,5,0.0,0,concurrent
2841,5,0.0,0,concurrent
3192,5,0.0,0,concurrent
3411,5,0.0,0,concurrent
3122,5,0.0,0,concurrent
302,5,0.0,0,concurrent
2243,5,0.0,0,concurrent
3172,5,0.0,0,concurrent
385,5,0.0,0,concurrent
352,5,0.0,0,concurrent
2301,5,0.0,0,concurrent
2524,5,0.0,0,concurrent
282,5,0.0,0,concurrent
2842,5,0.0,0,concurrent
311,5,0.0,0,concurrent
150,5,0.0,0,concurrent
373,5,0.0,0,concurrent
3123,5,24.205545467639535,1,concurrent
336,5,0.0,0,concurrent
142,5,0.0,0,concurrent
3371,5,0.0,0,concurrent
332,5,0.0,0,concurrent
427,5,0.0,0,concurrent
2471,5,50.04232769810405,1,concurrent
