line_id,month,average_speed,samples,implementation
2211,5,0.0,0,monolithic
1571,5,0.0,0,monolithic
2401,5,0.0,0,monolithic
2273,5,37.3252712265942,1,monolithic
1472,5,37.80059218125367,1,monolithic
3442,5,0.0,0,monolithic
304,5,0.0,0,monolithic
271,5,0.0,0,monolithic
2121,5,0.0,0,monolithic
2472,5,37.32188279674928,1,monolithic
131,5,0.0,0,monolithic
2212,5,0.0,0,monolithic
2241,5,0.0,0,monolithic
2402,5,0.0,0,monolithic
2274,5,0.0,0,monolithic
3422,5,0.0,0,monolithic
441,5,0.0,0,monolithic
375,5,0.0,0,monolithic
2101,5,0.0,0,monolithic
437,5,0.0,0,monolithic
272,5,0.0,0,monolithic
140,5,36.184200279700555,1,monolithic
2473,5,0.0,0,monolithic
999,5,0.0,0,monolithic
421,5,0.0,0,monolithic
3171,5,0.0,0,monolithic
2242,5,0.0,0,monolithic
318,5,0.0,0,monolithic
347,5,0.0,0,monolithic
2841,5,0.0,0,monolithic
3192,5,0.0,0,monolithic
3411,5,0.0,0,monolithic
3122,5,0.0,0,monolithic
302,5,0.0,0,monolithic
2243,5,0.0,0,monolithic
3172,5,0.0,0,monolithic
385,5,0.0,0,monolithic
352,5,0.0,0,monolithic
2301,5,0.0,0,monolithic
2524,5,0.0,0,monolithic
282,5,0.0,0,monolithic
2842,5,0.0,0,monolithic
311,5,0.0,0,monolithic
150,5,0.0,0,monolithic
373,5,0.0,0,monolithic
3123,5,24.205545467639535,1,monolithic
336,5,0.0,0,monolithic
142,5,0.0,0,monolithic
3371,5,0.0,0,monolithic
332,5,0.0,0,monolithic
427,5,0.0,0,monolithic
2471,5,50.04232769810405,1,monolithic
